
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
6,0.4,36.59,30.7,-0.77,1.22,1.13,50.03,0.76,21.91,0.18
7,-0.12,36.84,31.26,-0.44,1.22,1.13,50.03,0.76,21.91,0.18
8,-0.12,36.84,31.26,-0.44,1.41,1.25,49.91,0.48,21.91,0.18
9,0.09,36.84,31.26,-0.44,1.41,1.25,49.91,0.48,22.09,0.61
10,0.09,36.89,30.65,-1.17,1.41,1.25,49.91,0.48,22.09,0.61
11,0.09,36.89,30.65,-1.17,1.37,1.42,50.3,0.4,22.31,0.61
12,0.36,36.98,30.65,-1.17,1.37,1.42,50.3,0.4,22.31,0.13
13,0.36,36.98,29.73,-1.31,1.89,1.16,50.3,0.4,22.31,0.13
14,0.36,36.98,29.73,-1.31,1.89,1.16,50.94,1.61,22.51,0.13
15,0.44,36.66,29.73,-1.31,1.89,1.16,50.94,1.61,22.51,0.33
16,0.44,36.66,31.22,-1.87,1.57,1.9,50.94,1.61,22.51,0.33
17,0.44,36.66,31.22,-1.87,1.57,1.9,49.53,0.63,22.79,0.13
18,0.31,37.03,31.46,-1.87,1.57,1.9,49.53,0.63,22.79,0.13
19,0.31,37.03,31.46,-3.43,2.15,1.93,50.79,0.63,22.79,0.13
20,0.31,37.03,31.46,-3.43,2.15,1.93,50.79,0.7,23.13,-0.11
21,-0.93,37.27,22.1,-3.43,2.15,1.93,50.79,0.7,23.13,-0.11
22,-0.93,37.27,22.1,-2.18,0.22,2.2,60.62,0.7,23.13,-0.11
23,-0.93,37.27,22.1,-2.18,0.22,2.2,60.62,-2.85,23.47,0.04
24,-2.39,35.85,-1.24,-1.47,0.22,2.2,60.62,-2.85,23.47,0.04

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.49,36.2,31.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.49,36.2,31.47,-0.78,1.15,1.31,49.13,0.85,0.0,0.0
3,0.49,36.2,31.47,-0.78,1.15,1.31,49.13,0.85,25.14,0.06
4,1.11,36.04,31.57,-0.61,1.15,1.31,49.13,0.85,25.14,0.06
5,1.11,36.04,31.57,-0.61,1.12,1.17,48.96,0.85,25.14,0.06
6,1.11,36.04,31.57,-0.61,1.12,1.17,48.96,1.69,25.35,-0.05
7,0.92,36.25,31.52,-1.32,1.12,1.17,48.96,1.69,25.35,-0.05
8,0.92,36.25,31.52,-1.32,1.3,1.21,49.19,1.84,25.55,-0.05
9,0.88,36.25,31.52,-1.32,1.3,1.21,49.19,1.84,25.55,0.16
10,0.88,35.92,32.11,-1.21,1.28,1.21,49.19,1.84,25.55,0.16
11,0.88,35.92,32.11,-1.21,1.28,1.16,48.46,1.28,25.78,0.16
12,0.53,35.53,32.11,-1.21,1.28,1.16,48.46,1.28,25.78,0.15
