
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
2,10.33,45.63,-10.77,-6.38,1.77,-0.5,109.52,38.27,31.26,0.0
3,10.33,45.63,-10.77,-6.38,1.77,1.74,103.63,43.22,31.59,0.0
4,11.17,44.38,-10.77,-6.38,1.77,1.74,103.63,43.22,31.59,-0.43
5,11.17,44.38,-11.9,-4.18,3.7,-2.43,103.63,43.22,31.59,-0.43
6,11.17,44.38,-11.9,-4.18,3.7,-2.43,103.5,51.14,31.34,-0.09
7,12.2,45.15,-8.1,-4.18,3.7,-2.43,103.5,51.14,31.34,-0.09
8,12.2,45.15,-8.1,0.07,3.82,1.11,100.35,51.14,31.34,-0.09
9,12.2,45.15,-8.1,0.07,3.82,1.11,100.35,56.56,31.37,0.15
10,11.51,46.23,-6.91,1.43,3.82,1.11,100.35,56.56,31.37,0.15
11,11.51,46.23,-6.91,1.43,2.09,1.45,99.59,56.56,31.37,0.15
12,11.51,46.23,-6.91,1.43,2.09,1.45,99.59,53.77,31.55,-0.47
13,10.82,46.17,-7.31,1.43,2.09,1.45,99.59,53.77,31.55,-0.47
14,10.82,46.17,-7.31,0.59,2.28,1.26,99.18,53.77,31.55,-0.47
15,10.82,46.17,-7.31,0.59,2.28,1.26,99.18,56.78,31.75,0.66
16,12.36,46.06,-4.81,0.59,2.28,1.26,99.18,56.78,31.75,0.66
17,12.36,46.06,-4.81,0.59,2.28,1.26,99.18,56.78,31.75,0.22
18,11.5,46.06,-4.81,0.59,2.28,1.26,99.18,56.78,31.75,0.22
19,11.5,45.39,-9.28,-1.99,0.25,1.26,99.18,56.78,31.75,0.22
20,11.5,45.39,-9.28,-1.99,0.25,1.1,101.58,56.07,32.04,0.22
21,14.38,43.93,-9.28,-1.99,0.25,1.1,101.58,56.07,32.04,0.18
22,14.38,43.93,-10.42,0.33,3.85,1.04,101.58,56.07,32.04,0.18
23,14.38,43.93,-10.42,0.33,3.85,1.04,104.64,50.08,32.12,-1.21
24,16.67,38.48,-10.42,0.33,3.85,1.04,104.64,50.08,32.12,-1.21

0,7.24,44.22,-12.13,-11.61,-1.04,1.79,105.09,37.34,43.26,-1.37
1,7.24,44.22,-12.13,-11.61,-1.04,1.79,105.09,36.22,44.03,0.17
2,9.49,42.83,-16.93,-6.73,-1.04,1.79,105.09,36.22,44.03,0.17
3,9.49,42.83,-16.93,-6.73,1.35,4.64,110.21,29.18,44.03,0.17
4,5.33,42.83,-16.93,-6.73,1.35,4.64,110.21,29.18,44.41,0.33
5,5.33,43.82,-18.61,-5.26,1.36,4.64,110.21,29.18,44.41,0.33
6,5.33,43.82,-18.61,-5.26,1.36,3.97,112.35,18.93,45.24,0.33
7,6.06,45.01,-18.61,-5.26,1.36,3.97,112.35,18.93,45.24,1.06
8,6.06,45.01,-11.87,-2.76,-3.09,4.05,112.35,18.93,45.24,1.06
9,6.06,45.01,-11.87,-2.76,-3.09,4.05,108.38,21.84,45.95,-0.74
10,5.99,45.68,-15.51,-2.76,-3.09,4.05,108.38,21.84,45.95,-0.74
11,5.99,45.68,-15.51,1.02,1.91,2.25,107.2,21.84,45.95,-0.74
12,5.99,45.68,-15.51,1.02,1.91,2.25,107.2,23.68,46.43,0.29
13,4.2,45.07,-14.25,-3.34,1.91,2.25,107.2,23.68,46.43,0.29
14,4.2,45.07,-14.25,-3.34,0.41,1.8,109.6,21.94,46.43,0.29
15,8.31,45.07,-14.25,-3.34,0.41,1.8,109.6,21.94,46.79,0.98
16,8.31,43.51,-17.94,-1.54,0.67,1.8,109.6,21.94,46.79,0.98
17,8.31,43.51,-17.94,-1.54,0.67,2.74,111.11,23.45,47.03,0.98
18,5.57,43.51,-17.94,-1.54,0.67,2.74,111.11,23.45,47.03,-0.02
19,5.57,42.0,-20.32,-2.39,-0.58,2.74,111.11,23.45,47.03,-0.02
20,5.57,42.0,-20.32,-2.39,-0.58,4.61,115.59,18.54,47.61,-0.02
21,5.52,42.0,-20.32,-2.39,-0.58,4.61,115.59,18.54,47.61,0.18
22,5.52,32.27,-36.96,8.41,-0.23,4.61,115.59,18.54,47.61,0.18
23,5.52,32.27,-36.96,8.41,-0.23,5.14,140.76,7.62,48.52,0.18
24,6.65,12.31,-48.69,8.41,-0.23,5.14,140.76,7.62,48.52,0.14

0,6.33,27.52,-5.43,-70.69,12.16,-3.49,57.39,26.79,62.07,0.33
1,6.33,27.52,-5.43,-73.34,-5.95,6.72,104.13,26.79,62.07,0.33
2,7.19,27.52,-5.43,-73.34,-5.95,6.72,104.13,35.96,62.85,0.22
3,7.19,32.19,-19.68,-50.74,8.96,6.72,104.13,35.96,62.85,0.22
4,7.19,32.19,-19.68,-50.74,8.96,1.87,117.81,23.48,63.27,0.04
5,5.25,35.24,-24.11,-35.12,8.96,1.87,117.81,23.48,63.27,0.04
6,5.25,35.24,-24.11,-35.12,1.53,4.94,123.74,7.03,63.27,0.04
7,5.25,35.24,-24.11,-35.12,1.53,4.94,123.74,7.03,63.94,0.71
